NPI,lst_nm,frst_nm,source,Quality_category_score,PI_category_score,IA_category_score,final_MIPS_score_without_CPB,final_MIPS_score
1447231402,DELACEY,KEVIN,apm,100,76.2,40,92.9,100
1457316994,JABLON,STUART,individual,,,,45,45
1457445876,VINAGRE,MICHELLE,individual,69.7,98,40,82.7,89.6
1457468670,BRODKIN,WILLIAM,apm,100,76.2,40,92.9,100
1467548750,SCHWEITZER,CARLOS,apm,97.4,76,40,91.5,98.9
1477653020,WALKER,DAVID,individual,,,,45,45
1477669539,FISHMAN,ROBERT,apm,100,76.2,40,92.9,100
1487607065,SHUTTARI,MIR,individual,80.6,64,40,78.5,84
1487741757,BOMBARDIER,GLEN,apm,100,76.2,40,92.9,100
1497827612,FREITAS,DANIEL,individual,,,,45,45
1518064609,MOORE,CECILIA,individual,,,,45,45
1528072360,LITANI,VLADAS,apm,100,76.2,40,92.9,100
1538125166,MCINTYRE,FLOYD,individual,,,,45,45
1538272539,KAMENS,EDWARD,apm,100,76.2,40,92.9,100
1588779607,GAVIGAN,MICHAEL,individual,72.7,,40,76.8,82
1598708687,HOWLAND,JOHN,apm,100,76.2,40,92.9,100
1598722837,GAGNE,GEORGE,individual,,,,45,45
1598731093,KRASON,GLORIA,group,72.2,,0,61.4,66.3
1598772766,SCHRAGER,ALAN,individual,66.7,,40,71.7,77.4
1619974102,ALBERT,LEE,individual,89.8,80,40,88.4,90.3
1629051487,ERBAN,ELIZABETH,apm,100,76.2,40,92.9,100
1629163191,TUFTS,HENRY,individual,,,,45,45
1629188131,MCDERMOTT,PATRICK,apm,100,78.2,40,93.5,100
1649214743,WEEDON,STEPHEN,apm,100,76.2,40,92.9,100
1649298142,WATSKY,KALMAN,apm,100,78.1,40,93.4,99
1659389526,MARER,M,apm,100,78.1,40,93.4,99
1659474047,WILLINSKY,JEFFREY,individual,,,,45,45
1679572127,KOFF,ARNOLD,apm,100,78.2,40,93.5,100
1689761959,MUGG,WILLIAM,individual,,,,45,45
1699794404,KINGSLEY,STEPHEN,apm,100,85.3,40,95.6,100
1720050073,LEAHY,MICHAEL,individual,,,,45,45
1750375549,SMALL,JEFFREY,apm,100,78.1,40,93.4,99
1760475495,TARR,DAVID,individual,,,,45,45
1780724971,WANG,FANG,individual,67.7,,40,72.5,82.5
1790747442,CHILD,STEPHEN,apm,100,76.2,40,92.9,100
1801831607,CALENDA,ALEXANDER,individual,,,,45,45
1801874912,SULLIVAN,DEBORAH,apm,100,76.2,40,92.9,100
1801898150,FRANGER,ROBERT,individual,100,,40,100,100
1811917289,MONGILLO,FRANK,apm,97.4,84.9,40,94.2,100
1851381065,GENOVESE,RICHARD,individual,,,,45,45
1871531988,MILETO,RICHARD,individual,,,,45,45
1891729976,LAWRENCE,DAVID,individual,,,,45,45
1902846892,STIPEK,ROBERT,individual,,,,45,45
1902848609,TARKHAN,ISMAIL,apm,100,78.1,40,93.4,99
1902963986,MEROLA,HENRY,group,100,100,40,100,100
1922050632,BURCHENAL,DAVID,individual,,,,45,45
1922166529,PINCUS,JAYNE,apm,100,78.1,40,93.4,99
1962449959,FRASCA,JOHN,individual,94.4,93,40,94.8,100
1972512739,MILLER,JONATHAN,individual,,,,45,45
1972516482,FUSCO,MICHAEL,apm,100,88,40,96.4,100
1548493273,PITTARI,CARA,apm,98.7,61,40,87.6,95.1
1619107349,HOGUE,GRANT,apm,100,58,40,87.4,95.1
1043288061,WHITMAN,GAIL,individual,,,,45,45
1568639219,FELIZ,EDDY,individual,,,,45,45
1699075747,MEISNER,JEFFREY,group,53.3,0,0,29.3,39.3
1851376446,FELIZ,ROBERTO,individual,,,,45,45
1154495950,EVANS,ROBIN,individual,,,,45,45
1386626521,DINICOLA,ARTURO,individual,47.2,,40,55.1,57.7
1114966561,FAN,ERIC,apm,100,78.1,40,93.4,99
1720247653,LONSHTEYN,MARIA,apm,100,76.2,40,92.9,100
1962442491,FEINBERG,ELLIOT,apm,100,76.2,40,92.9,100
1982961066,DESALERMOS,ATHANASIOS,apm,100,76.2,40,92.9,100
1316306517,YOON,BLISS,group,61.4,,40,67.2,75.1
1437181864,DORSCH,TERRYL,individual,,,,45,45
1760499420,NOBLE,VICTORIA,individual,92.8,59,40,83.8,85.6
1104263862,ANTONY,ANDREW,apm,100,78.1,40,93.4,99
1154648186,KRAMER,SCOTT,apm,100,78.1,40,93.4,99
1225059116,ZWAS,FELICE,apm,100,78.1,40,93.4,99
1508912759,SELKIN,ALAN,apm,100,78.1,40,93.4,99
1538180427,KHAGHAN,NEDA,apm,100,78.1,40,93.4,99
1841458759,SCHAMBERG,NEAL,apm,100,78.1,40,93.4,99
1053472647,ECHEVERRI,ANA,apm,100,78.1,40,93.4,99
1073734935,MAYUS,MARCUS,apm,100,78.1,40,93.4,99
1447471784,MESSENGER,ADAM,apm,100,78.1,40,93.4,99
1790043040,SHAJAN,JOSHAN,apm,100,78.1,40,93.4,99
1972516482,FUSCO,MICHAEL,apm,100,78.1,40,93.4,99
1548555295,HUGHES,ADRIENNE,group,82.7,,40,85.3,90.9
1952395022,DICENSO,ANGELO,individual,100,,40,100,100
1407960826,SLATER,RICHARD,group,15,0,0,8.3,15.6
1699713149,YAPA,RAMANI,group,15,0,0,8.3,15.6
1922062389,WINTMAN,BRUCE,individual,,,,45,45
1003907080,WHITE,KATHLEEN,group,,,,45,45
1043269731,KUCHNIR,LOUIS,group,,,,45,45
1225087919,DONOHUE,KEVIN,group,,,,45,45
1407977846,TRAN,THANH-NGA,group,,,,45,45
1619986114,MITCHELL,KAREN,group,,,,45,45
1689012510,PORTO,DENNIS,group,,,,45,45
1104109305,DE LARA,KRISTOFFER RYAN,group,87.4,98,40,92.4,99.6
1588652358,SOOD,PARDEEP,individual,87.5,95,40,91.7,100
1558437269,CAMPOS,HELAR,individual,82,22,40,66.7,76.7
1801988647,HART,TIMOTHY,individual,,,,45,45
1194041970,KROLLMAN,ANDREA,group,89.8,,40,91.3,93.6
1326240870,MCQUADE,MARILYN,group,89.8,,40,91.3,93.6
1851376867,PRENETA,RICHARD,group,89.8,,40,91.3,93.6
1750541462,MOKBELPUR,MAY,apm,,,,45,45
1245298553,HALL,DANA,individual,,,,45,45
1619003092,BLAKE,SARAH,individual,100,,40,100,100
1306809603,SABOURIN,JONATHAN,group,,,,45,45
1144210956,FREIBERG,ANDREW,apm,88.2,73.4,40,86.1,92.2
1720529142,FULCO,SARAH,apm,88.2,73.4,40,86.1,92.2
1003254822,OLSEN,ADAM,apm,100,97.2,40,99.2,100
1205380359,SCHLOSS,DANIEL,apm,100,97.2,40,99.2,100
1376981266,OSULLIVAN,MICHAEL,apm,100,97.2,40,99.2,100
1639580665,WOLFSON,THEODORE,apm,100,97.2,40,99.2,100
1790070043,VAFEK,EMILY,apm,100,97.2,40,99.2,100
1568693497,BICA,NATASHA,apm,100,90.3,40,97.1,100
1255742326,ALESSI-LAROSA,STEPHANIE,apm,100,82,40,94.6,100
1477563088,BURKE,CHRIS,apm,99.4,87,40,95.8,100
1780068585,BAIG,BASARAT,apm,99.4,87,40,95.8,100
1992115331,BURKE,LIAM,apm,99.4,87,40,95.8,100
1568447613,WYATT,RICHARD,group,,,,45,45
1457311615,DECARO,LOUIS,group,,,,45,45
1538114210,PAKNIA,DANIEL,group,,,,45,45
1043415441,HANSEN,CRAIG,group,74.6,,40,78.4,82.1
1144214032,SHURLAND,ABRAHAM,group,74.6,,40,78.4,82.1
1154378479,ZAHNER,EVAN,group,74.6,,40,78.4,82.1
1164533881,DOUZEPIS,JOHN,group,74.6,,40,78.4,82.1
1366999351,SMALHEISER,EMILY,group,74.6,,40,78.4,82.1
1508171190,KNOWLES,JAMES,group,74.6,,40,78.4,82.1
1619419199,LEARY,CAITLIN,group,74.6,,40,78.4,82.1
1649711987,BANNON,KATHLEEN,group,74.6,,40,78.4,82.1
1720285356,HUSAIN,SOHAIL,group,74.6,,40,78.4,82.1
1841425634,THOMAS,JESSICA,group,74.6,,40,78.4,82.1
1881747749,MCPHEE,ERIKA,group,74.6,,40,78.4,82.1
1942277512,BIENKOWSKI,DANIEL,group,74.6,,40,78.4,82.1
1942482237,YEH,PETER,group,74.6,,40,78.4,82.1
1982698999,ANDERSEN,CHRISTIAN,group,74.6,,40,78.4,82.1
1053338046,KJELLEN,BRETT,group,96.8,99,40,97.9,100
1487094793,NAPOLETANO,CHRISTINA,group,96.8,99,40,97.9,100
1538272539,KAMENS,EDWARD,apm,100,76.2,40,92.9,100
1225171754,SUN,PEI,individual,,,,45,45
1053538181,KONSTANTINOVA,NINA,apm,100,71.8,40,91.5,98.4
1255467783,KOENIG,SETH,apm,100,,40,100,100
1447784665,BLOOM,MOLLY,apm,100,,40,100,100
1548581283,LAWRENCE,STEPHANIE,apm,100,,40,100,100
1689194631,BLOSSOM-HARTLEY,JULIE,apm,100,,40,100,100
1710410113,MISTRY,MAYA,apm,100,,40,100,100
1942543962,BRUCKER,WILLIAM,apm,100,,40,100,100
1003859265,TORRES,EFRAIN,apm,100,81.9,40,94.6,100
1992834295,WAKEHAM,KEVIN,individual,,,,45,45
1386725257,WELDY,BRENDA,group,,,,45,45
1427245448,TAYLOR,RYAN,group,,,,45,45
1699790121,BREEN,CHRISTOPHER,group,,,,45,45
1205869047,GRENOBLE,JONATHAN,group,87.9,62,40,81.9,87.5
1396786554,BRUCK,KAREN,group,87.9,62,40,81.9,87.5
1497785851,MURRAY,MICHAEL,group,87.9,62,40,81.9,87.5
1689632556,KIRBY,CRAIG,group,87.9,62,40,81.9,87.5
1831379783,KEATING,CATHERINE,group,87.9,62,40,81.9,87.5
1932133816,LEE,ROBERT,group,87.9,62,40,81.9,87.5
1962438135,DEVRIES,MARJORIE,group,87.9,62,40,81.9,87.5
1699758334,KWIATKOWSKI,THOMAS,apm,95.6,84.8,40,93.2,98.6
1184614802,GUTTA,SRINIVASA,group,100,,40,100,100
1053608182,DEEB,WISSAM,group,66.2,77,40,74.5,79.3
1215399365,SCHACK,ROSE,group,66.2,77,40,74.5,79.3
1023381282,ROGERS,JONATHAN,group,88,,40,89.8,93.5
1033197157,AMOROSINO,CHRISTIE,group,88,,40,89.8,93.5
1073093266,REGAN,EMILY,group,88,,40,89.8,93.5
1083123434,MARTIN,ANNA,group,88,,40,89.8,93.5
1083988109,WENTWORTH,KRISTEN,group,88,,40,89.8,93.5
1114213915,LOMBARDI,SALLY,group,88,,40,89.8,93.5
1124674684,HATZIKONSTANTIS,JANE,group,88,,40,89.8,93.5
1184007080,TSAKOS,GEORGIOS,group,88,,40,89.8,93.5
1184141913,MACRI,KYLE,group,88,,40,89.8,93.5
1194240226,MOCCIA,KIMBERLY,group,88,,40,89.8,93.5
1194710756,DATTILO,JOSEPH,group,88,,40,89.8,93.5
1215582127,YANNATOS,CHRISTINA,group,88,,40,89.8,93.5
1225383334,BARONE,PETER,group,88,,40,89.8,93.5
1255426631,KOPP,ERIC,group,88,,40,89.8,93.5
1255502647,GULL,LAURA,group,88,,40,89.8,93.5
1265954408,GRAFOV,PAVEL,group,88,,40,89.8,93.5
1265986368,WALSH,MELISSA,group,88,,40,89.8,93.5
1275081168,LEBLANC,JEFFREY,group,88,,40,89.8,93.5
1275593741,WING,REBECCA,group,88,,40,89.8,93.5
1275966012,VAN DEN DUNGEN,LINDSEY,group,88,,40,89.8,93.5
1295250074,LYNCH,DANICA,group,88,,40,89.8,93.5
1306087473,DUXBURY,THOMAS,group,88,,40,89.8,93.5
1336250356,SULFARO,DOMENIC,group,88,,40,89.8,93.5
1356774459,WENTWORTH,BRIAN,group,88,,40,89.8,93.5
1356821839,MARELLA,LAUREN,group,88,,40,89.8,93.5
1366415598,LECLERC,JOEL,group,88,,40,89.8,93.5
1396389045,O'LEARY,CAROLYN,group,88,,40,89.8,93.5
1427591338,BONGAILAS,FRANCESCA,group,88,,40,89.8,93.5
1427606664,CHAMBERLIN,MONICA,group,88,,40,89.8,93.5
1437436490,NOVELLO,STEPHANIE,group,88,,40,89.8,93.5
1447799341,O'SHAUGHNESSY,SEAN,group,88,,40,89.8,93.5
1487170130,MAYBURY,THOMAS,group,88,,40,89.8,93.5
1508945247,GRAFF,LYNN,group,88,,40,89.8,93.5
1538649009,MAHER,LINDSEY,group,88,,40,89.8,93.5
1548448509,RODES,DENISE,group,88,,40,89.8,93.5
1548682867,PATTEN,STACY,group,88,,40,89.8,93.5
1558815118,SMITH,MATTHEW,group,88,,40,89.8,93.5
1568895928,BURILLO,ALICIA,group,88,,40,89.8,93.5
1568986719,COLELLO,CELSEA,group,88,,40,89.8,93.5
1609393412,STAVROS,MARIA,group,88,,40,89.8,93.5
1609436526,ANDRADE,NICOLE,group,88,,40,89.8,93.5
1619426962,SHEVORY,STEVEN,group,88,,40,89.8,93.5
1629236609,GRIFFIN,JAYLYNN,group,88,,40,89.8,93.5
1649826165,FARR,HAYLIE,group,88,,40,89.8,93.5
1659899722,POWERS,ERIN,group,88,,40,89.8,93.5
1659927804,MARTIN,ZACHARY,group,88,,40,89.8,93.5
1669806683,MELCHIORRI,DAVID,group,88,,40,89.8,93.5
1689003253,ANDRUSZKIEWICZ,MOLLY,group,88,,40,89.8,93.5
1699334169,GRESHAM,SETH,group,88,,40,89.8,93.5
1710339676,RAWLEY,ANDREA,group,88,,40,89.8,93.5
1720122369,POWERS,GINA,group,88,,40,89.8,93.5
1730334392,HUMPHREY,JODIE,group,88,,40,89.8,93.5
1730588484,COOPER,KEITH,group,88,,40,89.8,93.5
1740318567,BYERS,LINDSAY,group,88,,40,89.8,93.5
1750486064,MCMANUS,NICOLE,group,88,,40,89.8,93.5
1750610119,PEZNOLA,MARIANNE,group,88,,40,89.8,93.5
1750896056,LINDEN,ALEXANDRA,group,88,,40,89.8,93.5
1770797433,MANCHESTER,ANDREW,group,88,,40,89.8,93.5
1780767913,AMOROSINO,PAUL,group,88,,40,89.8,93.5
1790200582,ALBERICO,MICHELLE,group,88,,40,89.8,93.5
1790738946,CURTIS,JENNIFER,group,88,,40,89.8,93.5
1811940083,FALLDORF,SCOTT,group,88,,40,89.8,93.5
1841744588,TROTSKY,ALEXANDER,group,88,,40,89.8,93.5
1851597439,COMPAGNONE,GINO,group,88,,40,89.8,93.5
1881028637,COSTELLA,ANTHONY,group,88,,40,89.8,93.5
1881070084,GAMACHE,MICHAEL,group,88,,40,89.8,93.5
1881606911,MURPHY,KAREN,group,88,,40,89.8,93.5
1891854451,WOLLENSAK,DIANE,group,88,,40,89.8,93.5
1912424011,DIMATTEO,KATELYNN,group,88,,40,89.8,93.5
1912451667,VITALE,STEPHEN,group,88,,40,89.8,93.5
1922318039,STRINGER,ALLISON,group,88,,40,89.8,93.5
1922552306,COPPOLA,HANNAH,group,88,,40,89.8,93.5
1932216553,WALTON,SHANNON,group,88,,40,89.8,93.5
1942610555,MCGINTY,DAVID,group,88,,40,89.8,93.5
1972082964,CARDONA,EDWARD,group,88,,40,89.8,93.5
1992167464,FRIERSON,CONSTANCE,group,88,,40,89.8,93.5
1992354070,FARRELL,EMILY,group,88,,40,89.8,93.5
1992943989,CONLIN,FREDERICK,group,,,,45,45
1962744573,WOO,JASON,group,90.4,,40,91.8,96.4
1821417585,DANIEL,CHAD,group,71.8,100,40,84.5,88.1
1598833683,BEST,JEFFREY,individual,,,,45,45
1467764381,CHECO HEINSEN,ELIE,apm,100,66.6,40,90,96.1
1922007095,MIRRER,FRANKLIN,individual,,,,45,45
1376708032,CARICCHIO,ROBERTO,group,93.5,,40,94.4,100
1154311801,CHATEAUNEUF,CHARLENE,group,95,100,40,97.3,100
1275549099,JANIK,SUSAN,group,95,100,40,97.3,100
1285158162,GUIMOND,RAYMOND,group,95,100,40,97.3,100
1326488669,KIDD,MATTHEW,group,95,100,40,97.3,100
1336314848,OLEWNIK,JESSICA,group,95,100,40,97.3,100
1669781019,HAM,ADAM,group,95,100,40,97.3,100
1134651433,TARABOCHIA-GAST,ALEXANDRA,apm,97.3,,40,97.8,100
1477563088,BURKE,CHRIS,apm,99.4,87,40,95.8,100
1780068585,BAIG,BASARAT,apm,99.4,87,40,95.8,100
1033400676,POBLETE,ROY,group,83.6,72,40,82.6,89.4
1831326750,BULIC,SEBINA,group,83.6,72,40,82.6,89.4
1972875730,MAREHBIAN,JONATHAN,group,83.6,72,40,82.6,89.4
1306259635,CHEN,XIAOLEI,apm,100,71.5,40,91.4,97.3
1780068585,BAIG,BASARAT,apm,100,71.5,40,91.4,97.3
1922537711,CANGEMI,REBECCA,apm,100,71.5,40,91.4,97.3
1033652938,KERNER,BRYAN,group,95.7,72,40,89.3,93.9
1083840706,LEE,SARAH,group,95.7,72,40,89.3,93.9
1356737233,COHEN,SHAWN,group,95.7,72,40,89.3,93.9
1952797904,GOLDBERG,ALLYSON,group,95.7,72,40,89.3,93.9
1700089414,GYAMFI,RICHMOND,group,98.3,,40,98.6,100
1063693489,BOYLE,JAMES,individual,84.3,93,40,89.2,92.3
1336382373,AFFONSO,JESSE,individual,82.5,96,40,89.2,92.5
1427041904,SMITH,ANDREW,individual,84.5,94,40,89.7,92.6
1548253172,WILLIS,JOHN,individual,85.8,97,40,91.3,93.3
1760445530,REMIA,LEONARD,individual,98.3,97,40,98.2,100
1942293014,KINKEAD,TIMOTHY,individual,94.5,86,40,92.8,95.3
1316915572,HAMILTON,RUSSELL,individual,,,,45,45
1003824707,BOULLI,RICHARD,individual,50,,40,57.5,62.9
1508898875,ALBANESE,DANIEL,individual,56.7,,40,63.2,68.4
1134109374,DIAZ,IVETTE,apm,97.4,84.9,40,94.2,100
1497136758,MICELI,ALYSSA,individual,85.4,90,40,88.9,91.4
1154417293,DRUGGE,RHETT,individual,,,,45,45
1679660021,IMEVBORE,MICHAEL,apm,100,78.1,40,93.4,99
1962899849,MERRILL,CHRISTIAN,group,62,97,40,78.2,80.3
1003890419,BIGATELLO,LUCA,group,100,,40,100,100
1023283462,BALONOV,KONSTANTIN,group,100,,40,100,100
1093965691,SEKHAR,PAVAN,group,100,,40,100,100
1104894633,STERNLICHT,ANDREW,group,100,,40,100,100
1134188436,GORDON,GEORGE,group,100,,40,100,100
1144373275,KUBICKI,TIMOTHY,group,100,,40,100,100
1154506871,MODANLOU,SHOHREH,group,100,,40,100,100
1225458896,RODRIGUEZ,MARC,group,100,,40,100,100
1255401279,COBEY,FREDERICK,group,100,,40,100,100
1265418263,BATAL,DAVID,group,100,,40,100,100
1265882591,CERASUOLO,JOSEPH,group,100,,40,100,100
1366887333,HANSEN,CHRISTOPHER,group,100,,40,100,100
1376797076,SUNG,THOMAS,group,100,,40,100,100
1407078967,QURAISHI,SADEQ,group,100,,40,100,100
1407938467,ZHANG,XIPING,group,100,,40,100,100
1417919168,ELKADI,HISHAM,group,100,,40,100,100
1427048206,ZHAO,PEI SHAN,group,100,,40,100,100
1437133477,BRASOVEANU,ELENA,group,100,,40,100,100
1437448149,DRZYMALSKI,DAN,group,100,,40,100,100
1447358072,KALRA,AMAN,group,100,,40,100,100
1457397010,HERNANDEZ,JOSEPHINE,group,100,,40,100,100
1467656660,REICH,JOHN,group,100,,40,100,100
1477818250,GALLAGHER,SEAN,group,100,,40,100,100
1528012192,ABRAHAMIAN,LORI,group,100,,40,100,100
1548365554,DESILLIER,ELENA,group,100,,40,100,100
1598992992,URSPRUNG,ERIC,group,100,,40,100,100
1609067727,CHATBURN,JENNIFER,group,100,,40,100,100
1710114350,TSAI,ANDREA,group,100,,40,100,100
1750556759,GUZMAN,CARLOS,group,100,,40,100,100
1750578571,MARIN-SANTONI,MONIQUE,group,100,,40,100,100
1760897441,HABIB,GHOFRAN,group,100,,40,100,100
1770846602,ORTOLEVA,JAMEL,group,100,,40,100,100
1801922547,MOSS,DAVID,group,100,,40,100,100
1811950413,HYNES,WILFRED,group,100,,40,100,100
1821083502,AZOCAR,RUBEN,group,100,,40,100,100
1841425154,KARKAR,AMI,group,100,,40,100,100
1851364939,SLATALLA,MATT,group,100,,40,100,100
1932166733,KNAPP,ROBERT,group,100,,40,100,100
1942282280,LEWIS,MARK,group,100,,40,100,100
1992957518,FURUYA,CAROLYN,group,100,,40,100,100
1316452048,NGUYEN,MINH-TAM,apm,100,92,40,97.6,100
1639502602,FITZGERALD,MARY,apm,100,92,40,97.6,100
1124102546,KELLY,MICHAEL,apm,97.4,84.9,40,94.2,100
1083641021,AL-HAMID,ASMA,group,97.8,71,40,90.1,95.6
1053625459,HAHN,DAVID,apm,100,72,40,91.6,97.7
1285692129,COHEN,DANIEL,apm,99,,40,99.2,100
1295783819,WESPISER,ROBERT,apm,99,,40,99.2,100
1326006362,CONSOLATI,THOMAS,apm,99,,40,99.2,100
1548352073,CAMPION,AMY,apm,99,,40,99.2,100
1629036116,SNOWISE,MARK,apm,99,,40,99.2,100
1659518462,NAVENTI,GABRIEL,apm,99,,40,99.2,100
1982993234,HOLUB,ROBERT,apm,99,,40,99.2,100
1104109305,DE LARA,KRISTOFFER RYAN,group,80.9,77,40,82.6,88
1104804665,OZUNA,RICHARD,apm,,,,45,45
1124230305,SCHWARTZ,BENJAMIN,apm,,,,45,45
1306879093,ZORIC,BOJAN,apm,,,,45,45
1376536680,SURMAN,GREGORY,group,,,,45,45
1376740456,KARBASSI,JOHN,apm,,,,45,45
1437258738,O'FLYNN,HUGH,apm,,,,45,45
1568779338,LACY,KYLE,apm,,,,45,45
1598743197,SHORE,JEREMY,apm,,,,45,45
1609854215,FEHNEL,DAVID,apm,,,,45,45
1619901386,MATTHEOS,STEVEN,apm,,,,45,45
1689011835,SPANG,ROBERT,apm,,,,45,45
1700864303,OHOLLERAN,JAMES,apm,,,,45,45
1821076522,EVANS,IRA,apm,,,,45,45
1548352636,BERNIE,JONATHAN,individual,,,,45,45
1619069754,BATTER,STEPHEN,individual,,,,45,45
1972695054,SERELS,SCOTT,individual,,,,45,45
1942493549,SAAD,TOUFIC,apm,100,78.2,40,93.5,99
1992844484,CHEMMANUR,ANNIE,individual,52.5,,40,59.6,66.5
1952322711,GOTTFRIED,DENNIS,individual,,,,45,45
1598798704,QUATROCELLI,ANGELA,group,79.8,,40,82.8,91.9
1760408538,MYERS,KURT,group,79.8,,40,82.8,91.9
1043396302,CASTALDI,FRANK,individual,,,,45,45
1528000254,ZACHAREAS,MICHAEL,individual,,,,45,45
1174611008,PAINCHAUD,AUDREY,group,76.1,0,40,56.9,62.8
1184658825,KUMAR,JAYALEKSHMY,group,76.1,0,40,56.9,62.8
1376643478,BELL,ALAN,group,76.1,0,40,56.9,62.8
1831283118,DAYAW,MARIA PILAR ELISA,group,76.1,0,40,56.9,62.8
1437311289,DJALO,ANNABI,apm,100,,40,100,100
1649305608,VALENCIA,CHRISTOPHER,group,78.4,,40,81.7,90
1205875341,SMITH,KWENDE,individual,,,,45,45
1013069962,DO,HUNG,individual,,,,45,45
1407179542,SIMS,ELIZABETH,individual,82.5,,40,85.1,86.7
1689690216,FELTES,MICHAEL,individual,,,,45,45
1568808293,RICHARDS,JASON,group,100,,40,100,100
1801094719,BABINSKI,KRISTEN,group,100,,40,100,100
1770941643,SCHMIDT,CONOR,group,95.3,,40,96,100
1235217985,KIM,ISAAC,apm,100,64.3,40,89.3,95.5
1831138965,VANNORT,JOSEPH,apm,100,78.3,40,93.5,98.8
1356798706,GARDNER,ZACHARY,group,80.1,,40,83.1,84.8
1790770352,YU,SONG,individual,,,,45,45
1003947458,HAVEMEYER,SCOTT,group,82,59,40,77.8,80.7
1144468539,MAUGER,KIMBERLEY,group,82,59,40,77.8,80.7
1144575648,MCMILLAN,LAUREN,group,82,59,40,77.8,80.7
1154605079,GIBBONS,JENNIFER,group,82,59,40,77.8,80.7
1215988969,GIGLIOTTI,THERESE,group,82,59,40,77.8,80.7
1275012080,DUSHMAN,RACHEL,group,82,59,40,77.8,80.7
1346371788,ANGELOS,NICOLE,group,82,59,40,77.8,80.7
1467485821,SHERIDAN,MONICA,group,82,59,40,77.8,80.7
1548381791,FEHM,MICHAEL,group,82,59,40,77.8,80.7
1578012837,MULLEN,RACHAEL,group,82,59,40,77.8,80.7
1639147374,CZARNECKI,JOSEPH,group,82,59,40,77.8,80.7
1659751055,GREEN,RACHELLE,group,82,59,40,77.8,80.7
1780136879,ELLIS,LEIGHANN,group,82,59,40,77.8,80.7
1790734333,VAN LAETHEM,MICHELLE,group,82,59,40,77.8,80.7
1841700846,BUCKLEY,KAYLA,group,82,59,40,77.8,80.7
1851420798,PLODZIK,GREGORY,group,82,59,40,77.8,80.7
1902001589,VEZERIDIS,PETER,group,82,59,40,77.8,80.7
1942646674,SZOLOMAYER,LAUREN,group,82,59,40,77.8,80.7
1063479848,COBLENS,KAREN,apm,100,85.3,40,95.6,100
1285029892,CHACON - MORENO,BRENDA,apm,100,85.3,40,95.6,100
1376573444,DOBIES,PAUL,apm,100,85.3,40,95.6,100
1558328344,METZGER,JEFFREY,apm,100,85.3,40,95.6,100
