pri_spec,zip_code,min_medicare_pricing_for_new_patient,max_medicare_pricing_for_new_patient,mode_medicare_pricing_for_new_patient,min_copay_for_new_patient,max_copay_for_new_patient,mode_copay_for_new_patient
ANESTHESIOLOGY,01915,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01923,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01930,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01949,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01950,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01960,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,01970,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,02026,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02035,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02038,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02043,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,02048,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,02062,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02090,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02111,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02114,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02115,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02118,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02120,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02124,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02130,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02135,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02136,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02138,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02139,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02143,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02144,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02149,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02152,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02155,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02176,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02180,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02186,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02189,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02190,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02215,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02301,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,02302,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,02330,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,02356,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,02360,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,02379,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,02451,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02459,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02462,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02467,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02478,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02481,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
ANESTHESIOLOGY,02540,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,02554,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,02557,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,02563,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,02571,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,02601,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,02703,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,02720,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,02721,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,02740,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,02747,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,02777,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
ANESTHESIOLOGY,06001,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06010,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06032,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06033,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06052,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06062,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06067,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06069,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06102,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06105,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06106,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06107,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06117,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06226,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06260,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06268,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06320,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06340,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06360,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06437,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06451,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06457,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06460,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06484,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06488,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06492,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06510,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06511,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06516,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06519,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06606,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06610,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06611,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06706,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06708,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06776,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06790,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06810,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06820,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06824,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06825,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06830,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06850,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06851,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06880,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06897,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
ANESTHESIOLOGY,06902,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
CARDIAC SURGERY,01020,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
CARDIAC SURGERY,01107,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
CARDIAC SURGERY,01605,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
CARDIAC SURGERY,01655,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
CARDIAC SURGERY,01701,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
CARDIAC SURGERY,01801,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
CARDIAC SURGERY,01805,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
CARDIAC SURGERY,01901,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
CARDIAC SURGERY,01960,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
CARDIAC SURGERY,02108,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
CARDIAC SURGERY,02111,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
CARDIAC SURGERY,02114,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
CARDIAC SURGERY,02115,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
CARDIAC SURGERY,02132,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
CARDIAC SURGERY,02135,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
CARDIAC SURGERY,02138,$66.29 ,$197.76 ,$150.05 ,$16.57 ,$49.44 ,$37.51 
CARDIAC SURGERY,02301,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
CARDIAC SURGERY,02601,$61.33 ,$185.13 ,$140.29 ,$15.33 ,$46.28 ,$35.07 
CARDIAC SURGERY,06030,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
CARDIAC SURGERY,06105,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
CARDIAC SURGERY,06106,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
CARDIAC SURGERY,06510,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
CARDIAC SURGERY,06519,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
CARDIAC SURGERY,06610,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
CARDIAC SURGERY,06706,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
CARDIAC SURGERY,06708,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
CARDIAC SURGERY,06810,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
CARDIAC SURGERY,06902,$63.47 ,$190.87 ,$144.70 ,$15.87 ,$47.72 ,$36.17 
DERMATOLOGY,01002,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01020,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01060,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01093,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01095,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01103,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01107,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01201,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01230,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01247,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01267,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01432,$66.29 ,$197.76 ,$101.09 ,$16.57 ,$49.44 ,$25.27 
DERMATOLOGY,01453,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01501,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01510,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01545,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01550,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01581,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01605,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01606,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01608,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01655,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01701,$66.29 ,$197.76 ,$101.09 ,$16.57 ,$49.44 ,$25.27 
DERMATOLOGY,01702,$66.29 ,$197.76 ,$101.09 ,$16.57 ,$49.44 ,$25.27 
DERMATOLOGY,01742,$66.29 ,$197.76 ,$101.09 ,$16.57 ,$49.44 ,$25.27 
DERMATOLOGY,01748,$66.29 ,$197.76 ,$101.09 ,$16.57 ,$49.44 ,$25.27 
DERMATOLOGY,01749,$66.29 ,$197.76 ,$101.09 ,$16.57 ,$49.44 ,$25.27 
DERMATOLOGY,01752,$66.29 ,$197.76 ,$101.09 ,$16.57 ,$49.44 ,$25.27 
DERMATOLOGY,01757,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01772,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01760,$66.29 ,$197.76 ,$101.09 ,$16.57 ,$49.44 ,$25.27 
DERMATOLOGY,01803,$66.29 ,$197.76 ,$101.09 ,$16.57 ,$49.44 ,$25.27 
DERMATOLOGY,01805,$66.29 ,$197.76 ,$101.09 ,$16.57 ,$49.44 ,$25.27 
DERMATOLOGY,01810,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01824,$66.29 ,$197.76 ,$101.09 ,$16.57 ,$49.44 ,$25.27 
DERMATOLOGY,01830,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01845,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01851,$66.29 ,$197.76 ,$101.09 ,$16.57 ,$49.44 ,$25.27 
DERMATOLOGY,01854,$66.29 ,$197.76 ,$101.09 ,$16.57 ,$49.44 ,$25.27 
DERMATOLOGY,01886,$66.29 ,$197.76 ,$101.09 ,$16.57 ,$49.44 ,$25.27 
DERMATOLOGY,01890,$66.29 ,$197.76 ,$101.09 ,$16.57 ,$49.44 ,$25.27 
DERMATOLOGY,01907,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01915,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01923,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01930,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01940,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01945,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01949,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01950,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01960,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01970,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,01982,$61.33 ,$185.13 ,$94.07 ,$15.33 ,$46.28 ,$23.52 
DERMATOLOGY,02021,$66.29 ,$197.76 ,$101.09 ,$16.57 ,$49.44 ,$25.27 
DERMATOLOGY,02026,$66.29 ,$197.76 ,$101.09 ,$16.57 ,$49.44 ,$25.27 
DERMATOLOGY,02035,$66.29 ,$197.76 ,$101.09 ,$16.57 ,$49.44 ,$25.27 
DERMATOLOGY,02038,$66.29 ,$197.76 ,$101.09 ,$16.57 ,$49.44 ,$25.27 
